Disease,Primary Symptoms,Secondary Symptoms,Tertiary Symptoms
Common Cold,Runny nose,Sore throat,Cough
Influenza,High fever,Body aches,Fatigue
COVID-19,Loss of taste/smell,Dry cough,Shortness of breath
Type 2 Diabetes,Excessive thirst,Frequent urination,Unexplained weight loss
Hypertension,Headaches,Dizziness,Vision problems
Asthma,Wheezing,Chest tightness,Shortness of breath
Migraine,Severe headache,Light sensitivity,Nausea
Arthritis,Joint pain,Stiffness,Swelling
Pneumonia,Chest pain,Difficulty breathing,Fever
Bronchitis,Persistent cough,Chest discomfort,Mucus production
Gastritis,Stomach pain,Nausea,Loss of appetite
Anxiety Disorder,Excessive worry,Restlessness,Sleep problems
Depression,Persistent sadness,Loss of interest,Fatigue
GERD,Heartburn,Chest pain,Difficulty swallowing
Celiac Disease,Digestive issues,Fatigue,Weight loss
Osteoporosis,Bone fragility,Back pain,Poor posture
Anemia,Fatigue,Weakness,Pale skin
Thyroid Disease,Weight changes,Fatigue,Mood changes
Psoriasis,Skin patches,Itching,Joint pain
Eczema,Itchy skin,Redness,Dry patches
Multiple Sclerosis,Fatigue,Vision problems,Balance issues
Parkinson's Disease,Tremors,Stiffness,Balance problems
Alzheimer's Disease,Memory loss,Confusion,Behavioral changes
Ulcerative Colitis,Abdominal pain,Diarrhea,Rectal bleeding
Crohn's Disease,Abdominal pain,Weight loss,Fatigue
Lupus,Joint pain,Rash,Fatigue
Fibromyalgia,Widespread pain,Fatigue,Sleep problems
Glaucoma,Vision loss,Eye pain,Headache
Cataracts,Blurred vision,Light sensitivity,Color fading
Sleep Apnea,Loud snoring,Daytime fatigue,Morning headaches
Kidney Stones,Severe pain,Blood in urine,Nausea
Gallstones,Abdominal pain,Nausea,Vomiting
Hepatitis,Jaundice,Fatigue,Abdominal pain
Cirrhosis,Fatigue,Jaundice,Swelling
Gout,Joint pain,Swelling,Redness
Osteoarthritis,Joint pain,Stiffness,Reduced flexibility
Rheumatoid Arthritis,Joint pain,Swelling,Morning stiffness
Scoliosis,Back pain,Uneven shoulders,Poor posture
Carpal Tunnel,Wrist pain,Numbness,Tingling
Tennis Elbow,Elbow pain,Weakness,Stiffness
Plantar Fasciitis,Heel pain,Foot stiffness,Limited mobility
Sinusitis,Facial pain,Congestion,Headache
Tonsillitis,Sore throat,Fever,Swollen tonsils
Appendicitis,Abdominal pain,Nausea,Fever
Diverticulitis,Abdominal pain,Fever,Change in bowel habits
Hemorrhoids,Rectal pain,Bleeding,Itching
Shingles,Painful rash,Blisters,Burning sensation
Chickenpox,Itchy rash,Fever,Fatigue
Measles,Rash,Fever,Cough
Mumps,Swollen glands,Fever,Headache
Meningitis,Severe headache,Stiff neck,Fever
Tuberculosis,Persistent cough,Weight loss,Night sweats
Malaria,High fever,Chills,Sweating
Lyme Disease,Bull's eye rash,Fever,Joint pain
Rabies,Anxiety,Confusion,Paralysis
Tetanus,Muscle stiffness,Jaw cramping,Seizures
Cholera,Severe diarrhea,Dehydration,Vomiting
Typhoid,High fever,Headache,Weakness
Dengue Fever,High fever,Severe headache,Joint pain
Yellow Fever,Fever,Jaundice,Muscle pain
Ebola,Fever,Bleeding,Muscle pain
Zika Virus,Fever,Rash,Joint pain
West Nile Virus,Fever,Headache,Body aches
Chikungunya,Joint pain,Fever,Rash
Polio,Muscle weakness,Paralysis,Fatigue
Diphtheria,Sore throat,Fever,Weakness
