Disease,Description,Prescription,Precautions,Diet Plan,Workouts
Common Cold,Viral infection of the upper respiratory tract.,"Rest, hydration, OTC cold medications (e.g., decongestants).","Wash hands frequently, avoid close contact with sick individuals.","Warm fluids, vitamin C-rich foods (e.g., oranges, lemons).","Light stretching, avoid intense workouts."
Influenza,Viral infection affecting the respiratory system.,"Antiviral medications (e.g., Tamiflu), rest, hydration.","Annual flu vaccine, avoid crowded places during flu season.","Hydrating fluids, soups, fruits, and vegetables.","Rest, light walking once symptoms improve."
COVID-19,Respiratory illness caused by SARS-CoV-2 virus.,"Antivirals (e.g., Paxlovid), monoclonal antibodies, rest.","Vaccination, mask-wearing, social distancing.","Balanced diet with protein, vitamins, and minerals.","Light exercises, breathing exercises post-recovery."
Type 2 Diabetes,Chronic condition affecting blood sugar regulation.,"Metformin, insulin therapy, blood sugar monitoring.","Regular blood sugar checks, avoid high-sugar foods.","Low-carb, high-fiber diet (e.g., whole grains, vegetables).","Aerobic exercises (e.g., walking, swimming)."
Hypertension,"High blood pressure, increasing risk of heart disease.","ACE inhibitors, beta-blockers, diuretics.","Reduce salt intake, avoid smoking, limit alcohol.","DASH diet (low sodium, high potassium).","Cardio exercises (e.g., jogging, cycling)."
Asthma,Chronic inflammatory disease of the airways.,"Inhalers (e.g., albuterol), corticosteroids.","Avoid allergens, use air purifiers, monitor triggers.","Anti-inflammatory foods (e.g., omega-3s, fruits).","Breathing exercises, light yoga."
Migraine,Severe headaches often accompanied by nausea.,"Triptans, NSAIDs, anti-nausea medications.","Avoid triggers (e.g., stress, certain foods).","Magnesium-rich foods (e.g., nuts, seeds), avoid caffeine.","Relaxation techniques, light stretching."
Arthritis,Inflammation of joints causing pain and stiffness.,"NSAIDs, DMARDs, physical therapy.","Avoid overuse of joints, maintain healthy weight.","Anti-inflammatory diet (e.g., fish, olive oil).","Low-impact exercises (e.g., swimming, yoga)."
Pneumonia,Infection inflaming air sacs in one or both lungs.,"Antibiotics, antivirals, rest.","Vaccination (e.g., pneumococcal vaccine), avoid smoking.","Hydrating fluids, nutrient-rich soups.","Rest, light breathing exercises post-recovery."
Bronchitis,Inflammation of the bronchial tubes.,"Cough suppressants, bronchodilators, rest.","Avoid smoking, wear masks in polluted areas.","Warm fluids, avoid dairy if it worsens mucus.","Light walking, breathing exercises."
Gastritis,Inflammation of the stomach lining.,"Antacids, proton pump inhibitors (e.g., omeprazole).","Avoid spicy foods, alcohol, and NSAIDs.","Bland diet (e.g., bananas, rice, toast).","Light yoga, avoid intense workouts."
Anxiety Disorder,Persistent and excessive worry interfering with daily life.,"SSRIs, benzodiazepines, therapy.","Practice mindfulness, avoid caffeine.","Balanced diet, omega-3-rich foods (e.g., fish).","Yoga, meditation, light cardio."
Depression,Mood disorder causing persistent sadness and loss of interest.,"Antidepressants (e.g., SSRIs), therapy.","Regular therapy, avoid isolation.","Whole foods, avoid processed sugars.","Regular exercise, yoga, walking."
GERD,Acid reflux causing heartburn and discomfort.,"Antacids, H2 blockers, proton pump inhibitors.","Avoid large meals, elevate head while sleeping.","Low-acid diet (e.g., oatmeal, non-citrus fruits).","Light exercises, avoid bending over after meals."
Celiac Disease,Autoimmune disorder triggered by gluten.,"Gluten-free diet, vitamin supplements.",Strictly avoid gluten-containing foods.,"Gluten-free grains (e.g., quinoa, rice).","Regular exercise, avoid overexertion."
Osteoporosis,"Weakening of bones, increasing fracture risk.","Bisphosphonates, calcium, vitamin D supplements.","Avoid smoking, limit alcohol.","Calcium-rich foods (e.g., dairy, leafy greens).","Weight-bearing exercises (e.g., walking, resistance training)."
Anemia,Low red blood cell count causing fatigue.,"Iron supplements, vitamin B12 injections.","Eat iron-rich foods, avoid caffeine with meals.","Iron-rich foods (e.g., spinach, red meat).","Moderate cardio, avoid overexertion."
